x,split,mean,std,fit_seconds
0.05,val,0.3942728925608006,0.019969234283980265,0.006648434666506849
0.1,val,0.44285157864898034,0.013081764433451604,0.014150370333481987
0.2,val,0.4871345369650461,0.015125370135131376,0.026987850666652474
0.4,val,0.5633256024062884,0.012145129943490889,0.0546679146665762
0.7,val,0.6049490503878433,0.02004249452100776,0.09518005433331685
1.0,val,0.6382236416204781,0.010451318702883218,0.13960099133328185
0.05,train,1.0,0.0,0.006648434666506849
0.1,train,1.0,0.0,0.014150370333481987
0.2,train,1.0,0.0,0.026987850666652474
0.4,train,1.0,0.0,0.0546679146665762
0.7,train,0.9995606400303328,0.0004930554808624457,0.09518005433331685
1.0,train,0.9677756344584084,0.0009005459255937706,0.13960099133328185
