,precision,recall,f1-score,support
1,0.7837,0.7574,0.7703,1459.0
2,0.7979,0.8379,0.8174,1950.0
3,0.6974,0.8618,0.7709,246.0
4,0.8571,0.3158,0.4615,19.0
5,0.6389,0.3538,0.4554,65.0
6,0.6081,0.375,0.4639,120.0
7,0.843,0.7234,0.7786,141.0
accuracy,0.7817,0.7817,0.7817,0.7817
macro avg,0.7466,0.6036,0.6454,4000.0
weighted avg,0.7801,0.7817,0.7778,4000.0
