hidden_layer_sizes,alpha,macro_f1_mean,macro_f1_std,accuracy_mean,fit_seconds_mean
"(128, 64)",0.001,0.56920695034048,0.02265622799788967,0.7728124999999999,25.953313468199987
"(64, 64)",0.001,0.5470396469312353,0.023290276447911266,0.758625,11.780829150000091
"(64, 64)",0.0001,0.5417453193950169,0.03474068867056212,0.756,9.688242352600037
"(128, 64)",0.0001,0.538834794362125,0.03583932761562749,0.766125,18.434465998999986
"(128,)",0.0001,0.5350004393323228,0.044862639558914785,0.75725,19.872529822200022
"(64,)",0.0001,0.5146373400322007,0.019823785431738072,0.75175,7.676730888600059
"(64,)",0.001,0.5121697551175479,0.01901983189645041,0.7513124999999999,7.277536554000017
"(128,)",0.001,0.5119865175365084,0.03906261821547344,0.749375,13.2678059802
