,precision,recall,f1-score,support
1,0.7543,0.7197,0.7366,1459.0
2,0.7629,0.8467,0.8026,1950.0
3,0.6757,0.813,0.738,246.0
4,1.0,0.0526,0.1,19.0
5,0.8571,0.2769,0.4186,65.0
6,0.6061,0.1667,0.2614,120.0
7,0.8925,0.5887,0.7094,141.0
accuracy,0.7558,0.7558,0.7558,0.7558
macro avg,0.7927,0.4949,0.5381,4000.0
weighted avg,0.7569,0.7558,0.7455,4000.0
