x,split,mean,std,fit_seconds
0.05,val,0.4468625142299641,0.011306310627749819,0.01609972366668444
0.1,val,0.4821069586658239,0.016488211233911074,0.04857909399985753
0.2,val,0.5364683400668641,0.0070269153797601755,0.15687488399998983
0.4,val,0.6035568025771793,0.005564671538891403,0.6333010426666684
0.7,val,0.62997415476169,0.019802497534555274,1.9013348046666276
1.0,val,0.6528988537519803,0.005240051588533581,3.8786388760001196
0.05,train,0.9766225903548472,0.00923851239283869,0.01609972366668444
0.1,train,0.9489447823100927,0.009941938958561651,0.04857909399985753
0.2,train,0.9033941786385428,0.006867159785279958,0.15687488399998983
0.4,train,0.8651310329897198,0.0030192911822965155,0.6333010426666684
0.7,train,0.837863528861191,0.007759952777721557,1.9013348046666276
1.0,train,0.8234065904403649,0.004917820008510073,3.8786388760001196
