x,split,mean,std,fit_seconds
"(64,)",val,0.5121697551175479,0.01901983189645041,3.730140338199999
"(128,)",val,0.5119865175365084,0.03906261821547344,4.458342342799915
"(64, 64)",val,0.5470396469312353,0.023290276447911266,4.391739513800076
"(128, 64)",val,0.56920695034048,0.02265622799788967,7.840281952600071
"(64,)",train,0.5383664793963803,0.04514964507203791,3.730140338199999
"(128,)",train,0.5462902209644185,0.03970620909669779,4.458342342799915
"(64, 64)",train,0.5793742458355141,0.023600266831847374,4.391739513800076
"(128, 64)",train,0.6390757505283993,0.027594585918371103,7.840281952600071
