,precision,recall,f1-score,support
1,0.7373,0.7347,0.736,1459.0
2,0.7779,0.7974,0.7875,1950.0
3,0.7642,0.7642,0.7642,246.0
4,0.55,0.5789,0.5641,19.0
5,0.3962,0.3231,0.3559,65.0
6,0.5278,0.475,0.5,120.0
7,0.7917,0.6738,0.728,141.0
accuracy,0.7498,0.7498,0.7498,0.7498
macro avg,0.6493,0.621,0.6337,4000.0
weighted avg,0.7479,0.7498,0.7485,4000.0
