x,split,mean,std,fit_seconds
0.05,val,0.2945171328463548,0.004003643437450231,0.2642368059999474
0.1,val,0.3198262652697035,0.02079168144089929,0.39166441766671295
0.2,val,0.3827788642447119,0.01015864136045649,0.7084073176665697
0.4,val,0.46731003494620144,0.02851489726035513,1.959554207999948
0.7,val,0.5174980517367541,0.045577998854609725,3.656061248999928
1.0,val,0.5873335114882224,0.013635113937567072,5.974883910333271
0.05,train,0.3085433518662007,0.013257924397904675,0.2642368059999474
0.1,train,0.3389132896879154,0.032813059580227746,0.39166441766671295
0.2,train,0.4073835318326915,0.023811109989677042,0.7084073176665697
0.4,train,0.5244694954771528,0.04632976106378739,1.959554207999948
0.7,train,0.5739543126555682,0.07011368800080191,3.656061248999928
1.0,train,0.656961689949726,0.010910407030356147,5.974883910333271
