x,split,mean,std,fit_seconds
0.0,val,0.6244296797682765,0.029460774844266943,0.15807512160008627
0.0001,val,0.6321522996587835,0.028361292101995873,0.16103683940000338
0.0005,val,0.5669112515849932,0.03313393653038035,0.1661430397998629
0.001,val,0.4703281679067978,0.00848739181583757,0.1667859202000727
0.003,val,0.3634467784686305,0.028110778073022258,0.17566963019989998
0.005,val,0.30385467514778053,0.0013781033821782455,0.16788330200006385
0.01,val,0.291292238623105,0.0012476461872452111,0.16687495159985702
0.0,train,1.0,0.0,0.15807512160008627
0.0001,train,0.9660958741072052,0.0010169169223258445,0.16103683940000338
0.0005,train,0.6478450815854908,0.022137937889496112,0.1661430397998629
0.001,train,0.48647737963433285,0.005202838358991195,0.1667859202000727
0.003,train,0.3665488903391174,0.029875341090229397,0.17566963019989998
0.005,train,0.3038160462825072,0.0018531958506350296,0.16788330200006385
0.01,train,0.29160062010368026,0.0003653532098943072,0.16687495159985702
