learner,accuracy,macro_f1,balanced_accuracy,fit_seconds,predict_seconds,tune_seconds,best_params
svm,0.80075,0.6968967178321709,0.6491243158814138,8.774997325000186,2.225507564000054,127.96618241600004,"{""kernel"": ""rbf"", ""C"": 10.0, ""gamma"": 0.1}"
knn,0.79025,0.6693319842663038,0.658277967650266,0.002412718999948993,0.4214604170001621,26.19875355100021,"{""n_neighbors"": 1, ""weights"": ""uniform""}"
mlp_sk,0.78175,0.6454497889819187,0.6035921827142421,9.870214443999885,0.002913941999850067,570.2929957350002,"{""hidden_layer_sizes"": [128, 64], ""alpha"": 0.001}"
dt,0.74975,0.6336834133320783,0.6210280750154691,0.20716310299985707,0.0008575060001021484,34.64335141299989,"{""ccp_alpha"": 0.0001, ""max_depth"": null}"
mlp_pt,0.75575,0.5380943551853291,0.4948885155848562,4.608346343999983,0.002790052999898762,626.9645596110001,"{""hidden_dims"": [128, 64], ""activation"": ""relu""}"
