x,split,mean,std,fit_seconds
1,val,0.6565536833987744,0.014127946584617562,0.0021968083999126973
3,val,0.6186137882042827,0.020118504897811456,0.002161193399933836
7,val,0.5689720723319401,0.012147325715141204,0.0021525659999497293
15,val,0.5091698126036408,0.01791850754876823,0.0022682130000248437
31,val,0.436847936170816,0.013499557279188154,0.002197367000098893
61,val,0.3554590687177367,0.00857866401012955,0.002206815399858897
101,val,0.3355703389465698,0.005769584889235108,0.0021768870001324103
1,train,1.0,0.0,0.0021968083999126973
3,train,0.8128533273300282,0.0035268696687578574,0.002161193399933836
7,train,0.6905976063411281,0.008510892014800762,0.0021525659999497293
15,train,0.5725128583233438,0.012515966791132994,0.0022682130000248437
31,train,0.45792445425269374,0.008563733423885478,0.002197367000098893
61,train,0.36959070900306823,0.006035890992880208,0.002206815399858897
101,train,0.34519729864535814,0.007899880008972014,0.0021768870001324103
