,precision,recall,f1-score,support
1,0.7938,0.7862,0.7899,1459.0
2,0.8244,0.8328,0.8286,1950.0
3,0.7087,0.7317,0.72,246.0
4,0.6,0.4737,0.5294,19.0
5,0.541,0.5077,0.5238,65.0
6,0.5397,0.5667,0.5528,120.0
7,0.7752,0.7092,0.7407,141.0
accuracy,0.7902,0.7902,0.7902,0.7902
macro avg,0.6832,0.6583,0.6693,4000.0
weighted avg,0.7901,0.7902,0.7901,4000.0
